Kode,Nama,Kategori,Stok,Harga,Kadaluarsa,Deskripsi
OBT033,Metat 20mg,Antihistamin,328,46552,2026-04-10,Obat antihistamin untuk penggunaan medis
OBT034,Atoren 250mg,Kortikosteroid,258,23642,2025-02-08,Obat kortikosteroid untuk penggunaan medis
OBT035,Captan 20mg,Kortikosteroid,114,25253,2026-04-29,Obat kortikosteroid untuk penggunaan medis
OBT036,Atorol 50mg,Antibiotik,163,98982,2025-05-01,Obat antibiotik untuk penggunaan medis
OBT037,Simox 50mg,Antibiotik,99,47701,2025-03-15,Obat antibiotik untuk penggunaan medis
OBT038,Paraox 10mg,Antikonvulsan,57,65355,2026-12-08,Obat antikonvulsan untuk penggunaan medis
OBT039,Losin 500mg,Antidepresan,340,48427,2025-06-10,Obat antidepresan untuk penggunaan medis
OBT040,Captin 5mg,Antidepresan,292,78744,2025-05-05,Obat antidepresan untuk penggunaan medis
OBT041,Ibuox 5mg,Antihistamin,462,93480,2025-01-07,Obat antihistamin untuk penggunaan medis
OBT042,Dexaat 1000mg,Antikonvulsan,295,80498,2025-06-01,Obat antikonvulsan untuk penggunaan medis
OBT043,Amloax 250mg,Antidepresan,347,42644,2025-08-05,Obat antidepresan untuk penggunaan medis
OBT044,Amlool 5mg,Antidepresan,51,52076,2025-03-02,Obat antidepresan untuk penggunaan medis
OBT045,Omepum 20mg,Antasida,311,65948,2026-01-21,Obat antasida untuk penggunaan medis
OBT046,Amoxax 25mg,Kortikosteroid,310,8364,2025-09-19,Obat kortikosteroid untuk penggunaan medis
OBT047,Captin 500mg,Antasida,172,78186,2026-01-24,Obat antasida untuk penggunaan medis
OBT048,Dicloan 50mg,Antasida,341,33512,2026-11-24,Obat antasida untuk penggunaan medis
OBT049,Losex 5mg,Mineral,53,47896,2025-10-29,Obat mineral untuk penggunaan medis
OBT050,Amloat 20mg,Psikotropika,177,79159,2025-10-29,Obat psikotropika untuk penggunaan medis
OBT051,Omepin 50mg,Analgesik,269,6472,2026-08-04,Obat analgesik untuk penggunaan medis
OBT052,Cefiax 10mg,Antihistamin,403,78569,2025-11-06,Obat antihistamin untuk penggunaan medis
OBT053,Paraol 100mg,Antasida,442,70618,2026-12-31,Obat antasida untuk penggunaan medis
OBT054,Amloin 100mg,Antihistamin,331,54982,2026-11-27,Obat antihistamin untuk penggunaan medis
OBT055,Captil 20mg,Kardiovaskular,81,9245,2025-12-20,Obat kardiovaskular untuk penggunaan medis
OBT056,Dexaan 250mg,Antibiotik,449,73614,2025-07-22,Obat antibiotik untuk penggunaan medis
OBT057,Metox 100mg,Antasida,412,22210,2026-12-02,Obat antasida untuk penggunaan medis
OBT058,Losin 100mg,Antikonvulsan,335,76425,2025-11-25,Obat antikonvulsan untuk penggunaan medis
OBT059,Amoxil 50mg,Psikotropika,231,97524,2026-08-23,Obat psikotropika untuk penggunaan medis
OBT060,Amloex 50mg,Psikotropika,222,37538,2025-08-24,Obat psikotropika untuk penggunaan medis
OBT061,Captex 25mg,Antihistamin,311,41506,2025-07-17,Obat antihistamin untuk penggunaan medis
OBT062,Losat 20mg,Antidepresan,352,39386,2025-03-17,Obat antidepresan untuk penggunaan medis
OBT063,Amloen 250mg,Kardiovaskular,213,86546,2026-03-02,Obat kardiovaskular untuk penggunaan medis
OBT064,Captin 500mg,Antikonvulsan,346,49023,2026-09-01,Obat antikonvulsan untuk penggunaan medis
OBT065,Captax 10mg,Mineral,427,57069,2026-02-17,Obat mineral untuk penggunaan medis
OBT066,Ibuum 5mg,Antidiabetes,423,83899,2026-02-14,Obat antidiabetes untuk penggunaan medis
OBT067,Simin 10mg,Antasida,450,70439,2026-06-29,Obat antasida untuk penggunaan medis
OBT068,Simin 10mg,Antihistamin,395,33850,2026-05-19,Obat antihistamin untuk penggunaan medis
OBT069,Atoren 10mg,Analgesik,132,21680,2025-06-26,Obat analgesik untuk penggunaan medis
OBT070,Amoxan 1000mg,Kortikosteroid,293,86783,2025-06-16,Obat kortikosteroid untuk penggunaan medis
OBT071,Amloax 20mg,Psikotropika,368,96481,2026-04-28,Obat psikotropika untuk penggunaan medis
OBT072,Ranitex 20mg,Vitamin,225,86371,2026-10-12,Obat vitamin untuk penggunaan medis
OBT073,Dicloan 25mg,Vitamin,168,36017,2026-04-29,Obat vitamin untuk penggunaan medis
OBT074,Captex 250mg,Antasida,424,86191,2025-01-28,Obat antasida untuk penggunaan medis
OBT075,Atorax 25mg,Antasida,97,23831,2025-12-06,Obat antasida untuk penggunaan medis
OBT076,Dicloum 100mg,Analgesik,91,69847,2025-01-24,Obat analgesik untuk penggunaan medis
OBT077,Omepum 5mg,Antikonvulsan,312,91538,2026-03-05,Obat antikonvulsan untuk penggunaan medis
OBT078,Omepat 100mg,Antibiotik,423,51219,2025-11-09,Obat antibiotik untuk penggunaan medis
OBT079,Amoxum 250mg,Analgesik,453,58914,2025-05-20,Obat analgesik untuk penggunaan medis
OBT080,Metex 1000mg,Mineral,353,32044,2025-04-12,Obat mineral untuk penggunaan medis
OBT081,Paraol 5mg,Kardiovaskular,473,71456,2026-04-16,Obat kardiovaskular untuk penggunaan medis
OBT082,Cefian 100mg,Antidiabetes,129,46236,2025-09-26,Obat antidiabetes untuk penggunaan medis
OBT083,Dexaex 500mg,Kardiovaskular,351,19571,2026-06-23,Obat kardiovaskular untuk penggunaan medis
OBT084,Omepin 20mg,Antibiotik,313,77291,2026-06-26,Obat antibiotik untuk penggunaan medis
OBT085,Amloat 25mg,Vitamin,427,71000,2025-12-16,Obat vitamin untuk penggunaan medis
OBT086,Losum 500mg,Antikonvulsan,170,76060,2025-06-06,Obat antikonvulsan untuk penggunaan medis
OBT087,Cefiax 10mg,Antidiabetes,411,76799,2026-11-25,Obat antidiabetes untuk penggunaan medis
OBT088,Losat 1000mg,Antasida,53,75822,2025-09-08,Obat antasida untuk penggunaan medis
OBT089,Omepin 250mg,Antidepresan,434,14991,2025-04-27,Obat antidepresan untuk penggunaan medis
OBT090,Captan 20mg,Mineral,342,77724,2026-04-12,Obat mineral untuk penggunaan medis
OBT091,Amloox 1000mg,Antikonvulsan,151,71109,2025-02-12,Obat antikonvulsan untuk penggunaan medis
OBT092,Amloax 5mg,Kortikosteroid,386,37846,2026-12-17,Obat kortikosteroid untuk penggunaan medis
OBT093,Amoxin 1000mg,Kortikosteroid,269,51374,2026-10-08,Obat kortikosteroid untuk penggunaan medis
OBT094,Dicloox 1000mg,Mineral,215,48735,2026-08-19,Obat mineral untuk penggunaan medis
OBT095,Losox 50mg,Antidepresan,495,92379,2026-12-01,Obat antidepresan untuk penggunaan medis
OBT096,Simil 20mg,Antasida,277,35105,2026-12-05,Obat antasida untuk penggunaan medis
OBT097,Metin 250mg,Antidiabetes,460,62747,2026-03-03,Obat antidiabetes untuk penggunaan medis
OBT098,Captil 100mg,Mineral,168,84683,2025-01-17,Obat mineral untuk penggunaan medis
OBT099,Amloum 100mg,Antidepresan,125,40616,2025-05-17,Obat antidepresan untuk penggunaan medis
OBT100,Metan 10mg,Kardiovaskular,361,44903,2026-03-01,Obat kardiovaskular untuk penggunaan medis
OBT101,Ranitol 5mg,Analgesik,120,28370,2025-03-22,Obat analgesik untuk penggunaan medis
OBT102,Atorat 5mg,Antidiabetes,286,74724,2025-03-27,Obat antidiabetes untuk penggunaan medis
OBT103,Dicloum 250mg,Antihistamin,232,22287,2026-09-24,Obat antihistamin untuk penggunaan medis
OBT104,Atorat 500mg,Kortikosteroid,403,67679,2025-07-07,Obat kortikosteroid untuk penggunaan medis
OBT105,Amloat 100mg,Kardiovaskular,65,54850,2025-03-23,Obat kardiovaskular untuk penggunaan medis
OBT106,Metex 50mg,Kardiovaskular,204,18350,2025-01-30,Obat kardiovaskular untuk penggunaan medis
OBT107,Ibuox 5mg,Antihistamin,191,93741,2026-09-22,Obat antihistamin untuk penggunaan medis
OBT108,Simat 10mg,Antikonvulsan,405,54348,2026-06-10,Obat antikonvulsan untuk penggunaan medis
OBT109,Cefiax 50mg,Antidepresan,423,49099,2026-06-11,Obat antidepresan untuk penggunaan medis
OBT110,Captan 50mg,Antihistamin,191,98595,2026-07-19,Obat antihistamin untuk penggunaan medis
OBT111,Ranitum 20mg,Vitamin,52,24872,2025-07-07,Obat vitamin untuk penggunaan medis
OBT112,Cefiil 25mg,Antihistamin,413,37628,2025-08-10,Obat antihistamin untuk penggunaan medis
OBT113,Parail 50mg,Antidepresan,244,94894,2026-09-26,Obat antidepresan untuk penggunaan medis
OBT114,Losat 10mg,Antidiabetes,459,48919,2026-12-09,Obat antidiabetes untuk penggunaan medis
OBT115,Simox 100mg,Antidepresan,210,60573,2025-03-24,Obat antidepresan untuk penggunaan medis
OBT116,Ranitat 250mg,Kardiovaskular,343,42678,2026-07-18,Obat kardiovaskular untuk penggunaan medis
OBT117,Parail 10mg,Kardiovaskular,77,50228,2026-09-22,Obat kardiovaskular untuk penggunaan medis
OBT118,Ranitat 50mg,Antasida,249,32735,2025-04-28,Obat antasida untuk penggunaan medis
OBT119,Omepin 50mg,Vitamin,425,36480,2025-08-16,Obat vitamin untuk penggunaan medis
OBT120,Atorol 25mg,Antihistamin,186,56540,2026-11-29,Obat antihistamin untuk penggunaan medis
OBT121,Meten 10mg,Antidiabetes,408,73802,2026-12-19,Obat antidiabetes untuk penggunaan medis
OBT122,Ibuum 5mg,Antihistamin,51,36972,2026-02-20,Obat antihistamin untuk penggunaan medis
OBT123,Losat 500mg,Antihistamin,85,83955,2026-05-23,Obat antihistamin untuk penggunaan medis
OBT124,Ibuan 5mg,Antidepresan,463,70388,2025-02-12,Obat antidepresan untuk penggunaan medis
OBT125,Ibuat 5mg,Antihistamin,181,97296,2026-05-12,Obat antihistamin untuk penggunaan medis
OBT126,Ibuin 25mg,Antikonvulsan,335,96107,2025-01-04,Obat antikonvulsan untuk penggunaan medis
OBT127,Omepan 20mg,Antibiotik,437,19348,2025-08-21,Obat antibiotik untuk penggunaan medis
OBT128,Amloum 5mg,Antidepresan,81,36481,2026-10-14,Obat antidepresan untuk penggunaan medis
OBT129,Captum 1000mg,Antikonvulsan,378,80068,2025-03-26,Obat antikonvulsan untuk penggunaan medis
OBT130,Omepax 1000mg,Antidiabetes,125,43483,2026-05-05,Obat antidiabetes untuk penggunaan medis
OBT131,Amloat 250mg,Antasida,194,69613,2025-10-28,Obat antasida untuk penggunaan medis
OBT132,Captox 100mg,Vitamin,352,84498,2026-11-26,Obat vitamin untuk penggunaan medis
OBT133,Amloin 1000mg,Antikonvulsan,77,7922,2026-02-09,Obat antikonvulsan untuk penggunaan medis
OBT134,Dexain 25mg,Antidiabetes,233,93267,2025-02-04,Obat antidiabetes untuk penggunaan medis
OBT135,Ranitex 100mg,Antasida,208,23111,2025-10-06,Obat antasida untuk penggunaan medis
OBT136,Amoxol 50mg,Antidiabetes,102,30971,2026-06-15,Obat antidiabetes untuk penggunaan medis
OBT137,Dexaum 500mg,Antasida,113,95502,2026-11-10,Obat antasida untuk penggunaan medis
OBT138,Atoril 250mg,Analgesik,213,20036,2026-05-08,Obat analgesik untuk penggunaan medis
OBT139,Captin 500mg,Antibiotik,127,40160,2026-03-01,Obat antibiotik untuk penggunaan medis
OBT140,Dexaex 25mg,Antibiotik,292,70977,2025-02-20,Obat antibiotik untuk penggunaan medis
OBT141,Ranitat 500mg,Antibiotik,311,66175,2025-10-08,Obat antibiotik untuk penggunaan medis
OBT142,Dexaax 25mg,Psikotropika,133,19983,2025-12-30,Obat psikotropika untuk penggunaan medis
OBT143,Cefiol 10mg,Antihistamin,389,31642,2026-04-29,Obat antihistamin untuk penggunaan medis
OBT144,Metum 500mg,Antibiotik,203,31238,2026-11-09,Obat antibiotik untuk penggunaan medis
OBT145,Atorol 10mg,Vitamin,479,97408,2025-06-11,Obat vitamin untuk penggunaan medis
OBT146,Dexaax 100mg,Antidepresan,278,71518,2026-07-26,Obat antidepresan untuk penggunaan medis
OBT147,Cefiox 250mg,Mineral,94,59363,2026-06-03,Obat mineral untuk penggunaan medis
OBT148,Amoxan 500mg,Psikotropika,394,35526,2025-01-05,Obat psikotropika untuk penggunaan medis
OBT149,Ranitol 50mg,Kortikosteroid,194,91942,2025-07-25,Obat kortikosteroid untuk penggunaan medis
OBT150,Amoxat 10mg,Kardiovaskular,124,30623,2025-04-29,Obat kardiovaskular untuk penggunaan medis
OBT151,Dicloum 1000mg,Kardiovaskular,78,86471,2026-04-22,Obat kardiovaskular untuk penggunaan medis
OBT152,Atorum 20mg,Antasida,361,26153,2026-01-10,Obat antasida untuk penggunaan medis
OBT153,Omepen 1000mg,Antidiabetes,313,15741,2026-11-04,Obat antidiabetes untuk penggunaan medis
OBT154,Cefiox 25mg,Antihistamin,462,57970,2025-06-13,Obat antihistamin untuk penggunaan medis
OBT155,Ranitum 50mg,Vitamin,148,17030,2025-03-14,Obat vitamin untuk penggunaan medis
OBT156,Amoxin 500mg,Antibiotik,498,5172,2025-02-05,Obat antibiotik untuk penggunaan medis
OBT157,Captan 250mg,Antidepresan,418,57309,2026-03-04,Obat antidepresan untuk penggunaan medis
OBT158,Ibuol 1000mg,Antihistamin,142,44133,2026-05-30,Obat antihistamin untuk penggunaan medis
OBT159,Dicloil 5mg,Antidiabetes,210,71459,2025-12-31,Obat antidiabetes untuk penggunaan medis
OBT160,Cefien 1000mg,Antihistamin,98,82256,2026-01-09,Obat antihistamin untuk penggunaan medis
OBT161,Paraol 25mg,Kortikosteroid,477,71383,2025-10-03,Obat kortikosteroid untuk penggunaan medis
OBT162,Diclool 25mg,Kardiovaskular,273,24244,2025-02-01,Obat kardiovaskular untuk penggunaan medis
OBT163,Dicloin 100mg,Antikonvulsan,123,12314,2025-06-21,Obat antikonvulsan untuk penggunaan medis
OBT164,Metil 25mg,Mineral,499,28764,2025-08-18,Obat mineral untuk penggunaan medis
OBT165,Dexaat 500mg,Psikotropika,147,86292,2026-01-09,Obat psikotropika untuk penggunaan medis
OBT166,Metex 500mg,Antidiabetes,357,27170,2026-09-18,Obat antidiabetes untuk penggunaan medis
OBT167,Simol 50mg,Mineral,68,31125,2026-07-26,Obat mineral untuk penggunaan medis
OBT168,Dicloex 5mg,Kardiovaskular,318,63000,2026-10-14,Obat kardiovaskular untuk penggunaan medis
OBT169,Ranitol 5mg,Antihistamin,268,71061,2026-03-24,Obat antihistamin untuk penggunaan medis
OBT170,Cefiat 25mg,Kortikosteroid,76,40720,2025-02-03,Obat kortikosteroid untuk penggunaan medis
OBT171,Meten 500mg,Mineral,387,91283,2025-01-29,Obat mineral untuk penggunaan medis
OBT172,Ibuin 10mg,Analgesik,224,94892,2026-12-28,Obat analgesik untuk penggunaan medis
OBT173,Ranitan 10mg,Antidiabetes,485,54388,2026-02-17,Obat antidiabetes untuk penggunaan medis
OBT174,Cefiex 500mg,Antidepresan,78,19607,2025-06-17,Obat antidepresan untuk penggunaan medis
OBT175,Amoxox 250mg,Analgesik,311,43827,2025-08-04,Obat analgesik untuk penggunaan medis
OBT176,Omepol 10mg,Analgesik,137,47181,2025-05-21,Obat analgesik untuk penggunaan medis
OBT177,Dicloox 20mg,Antibiotik,93,54233,2026-12-13,Obat antibiotik untuk penggunaan medis
OBT178,Dexaox 250mg,Psikotropika,467,31709,2026-07-15,Obat psikotropika untuk penggunaan medis
OBT179,Amoxil 250mg,Vitamin,390,73347,2025-02-15,Obat vitamin untuk penggunaan medis
OBT180,Amoxum 10mg,Kardiovaskular,221,24827,2026-01-09,Obat kardiovaskular untuk penggunaan medis
OBT181,Amloen 100mg,Antasida,56,21332,2026-11-08,Obat antasida untuk penggunaan medis
OBT182,Cefien 25mg,Kardiovaskular,344,41308,2026-08-08,Obat kardiovaskular untuk penggunaan medis
OBT183,Losil 5mg,Kardiovaskular,189,37487,2026-09-21,Obat kardiovaskular untuk penggunaan medis
OBT184,Cefiin 500mg,Antikonvulsan,79,91440,2025-05-18,Obat antikonvulsan untuk penggunaan medis
OBT185,Paraax 20mg,Analgesik,131,49259,2025-12-03,Obat analgesik untuk penggunaan medis
OBT186,Paraex 100mg,Psikotropika,466,40055,2026-08-13,Obat psikotropika untuk penggunaan medis
OBT187,Dicloat 1000mg,Vitamin,458,79590,2025-06-11,Obat vitamin untuk penggunaan medis
OBT188,Ranitax 25mg,Vitamin,107,54623,2025-04-07,Obat vitamin untuk penggunaan medis
OBT189,Ibuen 250mg,Antidiabetes,189,79499,2026-06-26,Obat antidiabetes untuk penggunaan medis
OBT190,Metum 50mg,Mineral,184,53303,2026-06-04,Obat mineral untuk penggunaan medis
OBT191,Atorat 500mg,Antibiotik,152,75799,2026-10-28,Obat antibiotik untuk penggunaan medis
OBT192,Capten 250mg,Antikonvulsan,246,60547,2026-11-16,Obat antikonvulsan untuk penggunaan medis
OBT193,Siman 25mg,Antihistamin,115,79371,2025-06-27,Obat antihistamin untuk penggunaan medis
OBT194,Amoxox 1000mg,Antihistamin,230,8207,2026-01-05,Obat antihistamin untuk penggunaan medis
OBT195,Ibuen 10mg,Mineral,289,34184,2025-03-28,Obat mineral untuk penggunaan medis
OBT196,Ibuox 1000mg,Mineral,304,79955,2025-08-14,Obat mineral untuk penggunaan medis
OBT197,Metox 25mg,Psikotropika,486,40481,2026-11-19,Obat psikotropika untuk penggunaan medis
OBT198,Dexaax 5mg,Psikotropika,87,84801,2026-04-27,Obat psikotropika untuk penggunaan medis
OBT199,Metat 20mg,Antasida,164,83591,2026-03-25,Obat antasida untuk penggunaan medis
OBT200,Dicloil 5mg,Antidiabetes,309,61473,2025-07-30,Obat antidiabetes untuk penggunaan medis
OBT201,Omepen 250mg,Kortikosteroid,92,95950,2026-06-02,Obat kortikosteroid untuk penggunaan medis
OBT202,Diclool 5mg,Analgesik,457,72883,2026-05-07,Obat analgesik untuk penggunaan medis
OBT203,Amlool 10mg,Antidepresan,132,90923,2026-11-15,Obat antidepresan untuk penggunaan medis
OBT204,Dexaum 25mg,Antasida,300,73661,2026-11-29,Obat antasida untuk penggunaan medis
OBT205,Ibuol 250mg,Antidepresan,210,38962,2026-07-09,Obat antidepresan untuk penggunaan medis
OBT206,Omepol 500mg,Kardiovaskular,141,15013,2025-04-25,Obat kardiovaskular untuk penggunaan medis
OBT207,Capten 5mg,Analgesik,110,32599,2026-12-15,Obat analgesik untuk penggunaan medis
OBT208,Paraan 20mg,Analgesik,302,35062,2025-09-22,Obat analgesik untuk penggunaan medis
OBT209,Dicloex 500mg,Antibiotik,264,43866,2026-02-28,Obat antibiotik untuk penggunaan medis
OBT210,Amoxox 10mg,Antidiabetes,53,51571,2025-11-15,Obat antidiabetes untuk penggunaan medis
OBT211,Simil 100mg,Kortikosteroid,111,77009,2025-10-22,Obat kortikosteroid untuk penggunaan medis
OBT212,Omepol 500mg,Psikotropika,121,80228,2026-12-03,Obat psikotropika untuk penggunaan medis
OBT213,Metol 1000mg,Vitamin,110,13647,2025-11-05,Obat vitamin untuk penggunaan medis
OBT214,Losum 250mg,Antidepresan,329,69998,2026-10-27,Obat antidepresan untuk penggunaan medis
OBT215,Ranitat 1000mg,Antidiabetes,101,38182,2025-08-22,Obat antidiabetes untuk penggunaan medis
OBT216,Metil 5mg,Antasida,429,29611,2026-04-30,Obat antasida untuk penggunaan medis
OBT217,Ranitum 250mg,Vitamin,458,30112,2026-08-07,Obat vitamin untuk penggunaan medis
OBT218,Amloum 25mg,Antikonvulsan,223,45370,2026-02-14,Obat antikonvulsan untuk penggunaan medis
OBT219,Simax 1000mg,Psikotropika,316,25506,2026-06-29,Obat psikotropika untuk penggunaan medis
OBT220,Losox 1000mg,Kortikosteroid,117,68542,2025-12-29,Obat kortikosteroid untuk penggunaan medis
OBT221,Amoxan 250mg,Antidepresan,59,37602,2025-11-23,Obat antidepresan untuk penggunaan medis
OBT222,Ranitil 500mg,Analgesik,224,46255,2025-01-11,Obat analgesik untuk penggunaan medis
OBT223,Paraum 10mg,Antidepresan,482,56507,2026-12-07,Obat antidepresan untuk penggunaan medis
OBT224,Losol 250mg,Kardiovaskular,372,28861,2026-10-08,Obat kardiovaskular untuk penggunaan medis
OBT225,Simex 5mg,Psikotropika,215,16282,2025-03-05,Obat psikotropika untuk penggunaan medis
OBT226,Amlool 100mg,Antikonvulsan,475,55587,2026-12-20,Obat antikonvulsan untuk penggunaan medis
OBT227,Captax 1000mg,Antasida,122,5041,2026-08-31,Obat antasida untuk penggunaan medis
OBT228,Cefiax 20mg,Mineral,235,36822,2025-02-15,Obat mineral untuk penggunaan medis
OBT229,Amoxex 10mg,Kardiovaskular,378,13284,2026-04-16,Obat kardiovaskular untuk penggunaan medis
OBT230,Cefium 1000mg,Antidepresan,181,81342,2026-03-29,Obat antidepresan untuk penggunaan medis
OBT231,Cefium 5mg,Antibiotik,377,59666,2025-01-08,Obat antibiotik untuk penggunaan medis
OBT232,Simax 5mg,Antidiabetes,348,29098,2026-06-11,Obat antidiabetes untuk penggunaan medis
OBT233,Amoxex 10mg,Antidiabetes,129,72117,2025-02-14,Obat antidiabetes untuk penggunaan medis
OBT234,Amloin 250mg,Psikotropika,424,15458,2026-06-25,Obat psikotropika untuk penggunaan medis
OBT235,Cefiol 25mg,Kortikosteroid,168,16261,2025-07-30,Obat kortikosteroid untuk penggunaan medis
OBT236,Dicloan 250mg,Antikonvulsan,191,32384,2025-01-18,Obat antikonvulsan untuk penggunaan medis
OBT237,Losax 50mg,Antidepresan,376,68383,2025-07-04,Obat antidepresan untuk penggunaan medis
OBT238,Amoxox 500mg,Antibiotik,57,75853,2026-06-18,Obat antibiotik untuk penggunaan medis
OBT239,Captan 1000mg,Mineral,129,40850,2025-04-20,Obat mineral untuk penggunaan medis
OBT240,Dexaum 5mg,Antibiotik,198,55997,2025-08-12,Obat antibiotik untuk penggunaan medis
OBT241,Ibuin 10mg,Psikotropika,312,78255,2025-12-18,Obat psikotropika untuk penggunaan medis
OBT242,Amloil 250mg,Psikotropika,399,86232,2025-05-13,Obat psikotropika untuk penggunaan medis
OBT243,Ibuax 5mg,Kortikosteroid,496,57782,2026-09-09,Obat kortikosteroid untuk penggunaan medis
OBT244,Metin 250mg,Antasida,444,37247,2025-01-23,Obat antasida untuk penggunaan medis
OBT245,Dicloat 5mg,Antidepresan,348,92354,2026-08-22,Obat antidepresan untuk penggunaan medis
OBT246,Amloax 500mg,Antikonvulsan,189,67879,2025-06-11,Obat antikonvulsan untuk penggunaan medis
OBT247,Cefiox 1000mg,Antidepresan,149,89071,2026-01-05,Obat antidepresan untuk penggunaan medis
OBT248,Amoxum 500mg,Kardiovaskular,373,92440,2026-03-24,Obat kardiovaskular untuk penggunaan medis
OBT249,Cefiin 500mg,Vitamin,463,98248,2025-05-05,Obat vitamin untuk penggunaan medis
OBT250,Losox 20mg,Analgesik,306,72065,2025-12-11,Obat analgesik untuk penggunaan medis
OBT251,Metox 5mg,Mineral,381,5837,2026-11-22,Obat mineral untuk penggunaan medis
OBT252,Losox 100mg,Psikotropika,409,26107,2026-10-18,Obat psikotropika untuk penggunaan medis
OBT253,Ranitan 250mg,Psikotropika,69,39098,2025-01-06,Obat psikotropika untuk penggunaan medis
OBT254,Paraum 500mg,Analgesik,307,68024,2025-12-03,Obat analgesik untuk penggunaan medis
OBT255,Captum 100mg,Analgesik,154,96159,2026-07-04,Obat analgesik untuk penggunaan medis
OBT256,Atorum 10mg,Vitamin,407,15486,2026-01-28,Obat vitamin untuk penggunaan medis
OBT257,Amloox 20mg,Antibiotik,127,12193,2026-02-18,Obat antibiotik untuk penggunaan medis
OBT258,Metol 50mg,Kortikosteroid,263,61952,2025-11-25,Obat kortikosteroid untuk penggunaan medis
OBT259,Metox 20mg,Antihistamin,375,26698,2026-03-18,Obat antihistamin untuk penggunaan medis
OBT260,Paraax 10mg,Mineral,160,59210,2025-02-26,Obat mineral untuk penggunaan medis
OBT261,Amoxat 25mg,Antasida,70,19869,2026-01-13,Obat antasida untuk penggunaan medis
OBT262,Amoxol 100mg,Kortikosteroid,432,94177,2026-02-07,Obat kortikosteroid untuk penggunaan medis
OBT263,Paraex 1000mg,Analgesik,391,52150,2026-04-04,Obat analgesik untuk penggunaan medis
OBT264,Dexain 1000mg,Antidiabetes,60,54260,2025-07-05,Obat antidiabetes untuk penggunaan medis
OBT265,Losum 25mg,Antidiabetes,303,22012,2026-10-27,Obat antidiabetes untuk penggunaan medis
